"band_name","band_url","band_start_time","band_end_time","band_stage","band_day","band_img","band_website_url"
"BEACH HOUSE","http://lineup.sfoutsidelands.com/band/beach-house","7:50 PM","9:00 PM","Sutro","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67370/customed802d737a73cb1bff50474ff23a48d8.jpg","http://beachhousebaltimore.com/"
"MARIAN HILL","http://lineup.sfoutsidelands.com/band/marian-hill","12:45 PM","1:30 PM","Twin Peaks","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67410/custom5c128640882e40825eb7e82a37870a59.jpg","http://www.marianhillmusic.com/"
"JIDENNA","http://lineup.sfoutsidelands.com/band/jidenna","2:10 PM","2:55 PM","Twin Peaks","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67510/custome280c81ee5c14c4b763a8a3c598fadea.jpg","http://jidenna.com/"
"POLIÇA","http://lineup.sfoutsidelands.com/band/poli%C3%A7a","3:40 PM","4:30 PM","Twin Peaks","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67490/customa3f276d2edfe03303d1b945559b12925.jpg","http://thisispolica.com/"
"THOMAS JACK","http://lineup.sfoutsidelands.com/band/thomas-jack","5:15 PM","6:05 PM","Twin Peaks","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67504/custom38a6d21f6636a03b70eb5e8e2b68e772.jpg","http://thomasjackmusic.com/"
"GRIMES","http://lineup.sfoutsidelands.com/band/grimes","6:50 PM","7:50 PM","Twin Peaks","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67380/custom405385480b2ce24f93673fcfd42d58bf.jpg","http://grimesmusic.com/"
"J. COLE","http://lineup.sfoutsidelands.com/band/j-cole","8:40 PM","9:55 PM","Twin Peaks","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67388/customac1aca7d0e8f2fb0aa03582131a2475a.jpg","http://www.jcolemusic.com/"
"DOWN AND OUTLAWS","http://lineup.sfoutsidelands.com/band/down-and-outlaws-","12:00 PM","12:40 PM","Panhandle","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/71095/custom2a573c896a103e316f34671ca2b78456.jpg","http://www.downandoutlaws.com/"
"MOON TAXI","http://lineup.sfoutsidelands.com/band/moon-taxi","1:30 PM","2:10 PM","Panhandle","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67512/custombe9a5d45b4cd484afc06abdfba02851c.jpg","http://ridethemoontaxi.com/"
"VULFPECK","http://lineup.sfoutsidelands.com/band/vulpeck","2:55 PM","3:35 PM","Panhandle","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67541/custom816e13165a3e3ce09b55387ce89b5c68.jpg","http://vulfpeck.com/"
"TOKIMONSTA","http://lineup.sfoutsidelands.com/band/tokimonsta","4:30 PM","5:10 PM","Panhandle","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67516/custom97fe032b1d538df772b40e485af60efe.jpg","http://www.tokimonsta.com/"
"LÅPSLEY","http://lineup.sfoutsidelands.com/band/lapsley-","6:05 PM","6:45 PM","Panhandle","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67524/custom692acfbfc03ac4eca37e1deb45107dab.jpg","http://musiclapsley.com/"
"HIATUS KAIYOTE","http://lineup.sfoutsidelands.com/band/haitus-kaiyote","7:50 PM","8:35 PM","Panhandle","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67482/customd2e512bc50f6ac1f622713705851e555.jpg","http://hiatuskaiyote.com/"
"Make It Funky Djs","http://lineup.sfoutsidelands.com/band/make-it-funky-djs","12:00 PM","1:30 PM","The House by Heineken","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/71035/customc86c6a907c8bc8035e85c1674876e700.png","https://twitter.com/MakeItFunky_"
"219 Boys","http://lineup.sfoutsidelands.com/band/219-boys","1:30 PM","3:00 PM","The House by Heineken","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/71041/customc96f5bd37ce276e5b28029da7e29e4b4.jpg","http://www.219boys.com/"
"FDVM","http://lineup.sfoutsidelands.com/band/fdvm-vjbkcgld","3:00 PM","4:30 PM","The House by Heineken","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/71037/customb61fdfcb548c50ff470f85c26c03517e.jpg","https://soundcloud.com/fdvm"
"Redlight","http://lineup.sfoutsidelands.com/band/redlight-","4:30 PM","6:00 PM","The House by Heineken","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/71053/custom9e983f617fa599862e16dbf590e8f579.jpg","http://www.redlightmusic.co.uk/"
"PillowTalk","http://lineup.sfoutsidelands.com/band/pillowtalk","6:00 PM","8:00 PM","The House by Heineken","Friday, August 05","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/71029/custome7a799b28c5b98506b0fa9d738796357.jpg","https://soundcloud.com/pillow-talk-1"
