"band_name","band_url","band_start_time","band_end_time","band_stage","band_day","band_img","band_website_url"
"VINCE STAPLES","http://lineup.sfoutsidelands.com/band/vince-staples","3:40 PM","4:30 PM","Twin Peaks","Saturday, August 06","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67440/custome19162faea2bfe40dea82100402a7845.jpg","http://www.vincestaples.com/"
"JAUZ","http://lineup.sfoutsidelands.com/band/jauz","5:15 PM","6:05 PM","Twin Peaks","Saturday, August 06","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67390/customc77d841e1268d3a3cc313d4c575f0673.jpg","http://jauzofficial.com/"
"HALSEY","http://lineup.sfoutsidelands.com/band/halsey","6:55 PM","7:55 PM","Twin Peaks","Saturday, August 06","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67384/customfa7f922cb5e3187d9acf843f8c03026e.jpg","http://iamhalsey.com/"
"ZEDD","http://lineup.sfoutsidelands.com/band/zedd","8:40 PM","9:55 PM","Twin Peaks","Saturday, August 06","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67444/customd5c3b8ab1020e7cfb95ed686357a65f1.jpg","http://zedd.net/"
"METHYL ETHEL","http://lineup.sfoutsidelands.com/band/methyl-ethel","12:00 PM","12:40 PM","Panhandle","Saturday, August 06","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67412/customcd5af4cff8d69ecfa216affefb0203a6.jpg","http://methylethel.com/"
"DECLAN MCKENNA","http://lineup.sfoutsidelands.com/band/declan-mckenna-wfvuilat","1:25 PM","2:05 PM","Panhandle","Saturday, August 06","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67472/customf454c9519b10377bebb5a0c8b1cd22b9.jpg","http://www.declanmckenna.net/"
"KEVIN MORBY","http://lineup.sfoutsidelands.com/band/kevin-morby","2:55 PM","3:35 PM","Panhandle","Saturday, August 06","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67396/custom04830caf1c7dc0e0fb37cb5e24f8fd6f.jpg","http://kevinmorby.com/"
"CON BRIO","http://lineup.sfoutsidelands.com/band/con-brio","4:30 PM","5:10 PM","Panhandle","Saturday, August 06","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/70921/custom2171132f4009a259a51c0c51cb0539c3.png","http://thebandconbrio.com/"
"PEACHES","http://lineup.sfoutsidelands.com/band/peaches-","6:05 PM","6:50 PM","Panhandle","Saturday, August 06","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67518/custom4adc2dc5ef6ef60281011c3cd7e86c92.jpg","http://peachesrocks.com/rub-tv/"
"ANDERSON .PAAK & THE FREE NATIONALS","http://lineup.sfoutsidelands.com/band/anderson-paak-and-the-free-nationals","7:55 PM","8:40 PM","Panhandle","Saturday, August 06","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67368/custome4e354e93db2ebaf7eea9e367e17905c.jpg","http://andersonpaak.com/"
"Motion Potion","http://lineup.sfoutsidelands.com/band/motion-potion","12:00 PM","3:00 PM","The House by Heineken","Saturday, August 06","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/71057/customc5a0d910b7c158eaaffad5ca7a84e847.jpg","http://www.motionpotion.com/"
"W.Haze","http://lineup.sfoutsidelands.com/band/w-haze","3:00 PM","4:30 PM","The House by Heineken","Saturday, August 06","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/71033/custom0d48daa09d702f9576ed706e5fdd068b.jpg","http://djzachmoore.com/whaze/"
"Translucent","http://lineup.sfoutsidelands.com/band/transluscent","4:30 PM","5:30 PM","The House by Heineken","Saturday, August 06","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/71031/custom2d1cbe32dcefa9db4155a7a8b9c15857.jpg","http://iamtranslucent.com/"
"Purple Disco Machine","http://lineup.sfoutsidelands.com/band/purple-disco-machine","5:30 PM","6:30 PM","The House by Heineken","Saturday, August 06","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/71027/custom6c634ae450a8522fe8267191c83bd7d2.jpg","http://www.purplediscomachine.com/"
"VICTOR CALDERONE","http://lineup.sfoutsidelands.com/band/victor-calderone","6:30 PM","8:00 PM","The House by Heineken","Saturday, August 06","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/71055/custom6a30a30a3c0c6a663e6f5d96e0fd8291.jpg","http://victorcalderone.com/"
"Harmontown: Dan Harmon & Jeff B. Davis","http://lineup.sfoutsidelands.com/band/dan-harmon-and-jeff-b-davis","12:50 PM","1:35 PM","The Barbary","Saturday, August 06","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/70712/customd5b6b94fc073fa7de37ec5fd32d347d8.png","http://harmontown.com/"
"NATASHA LEGGERO, MOSHE KASHER, JOHN EARLY AND JERMAINE FOWLER","http://lineup.sfoutsidelands.com/band/natasha-leggero","2:05 PM","3:00 PM","The Barbary","Saturday, August 06","https://cdn.pastemagazine.com/www/articles/leggero_kasher_honeymoon_main.jpg","http://lineup.sfoutsidelands.com"
"John Mulaney & Beth Stelling","http://lineup.sfoutsidelands.com/band/john-mulaney","3:25 PM","4:15 PM","The Barbary","Saturday, August 06","https://skepchick.org/wp-content/uploads/2015/12/beth-stelling.jpg","http://lineup.sfoutsidelands.com"
"Anthony Jeselnik, KYLE KINANE AND CLAUDIA O'DOHERTY","http://lineup.sfoutsidelands.com/band/kyle-kinane","4:40 PM","5:35 PM","The Barbary","Saturday, August 06","http://media.mlive.com/grpress/entertainment_impact/photo/anthony-jeselnikjpg-ce699eb395cf291d.jpg","http://lineup.sfoutsidelands.com"
"THE GODDAMN COMEDY JAM WITH SPECIAL GUESTS Dana Gould, Kyle Kinane, John Early & Beth Stelling","http://lineup.sfoutsidelands.com/band/goddamn-jam-","6:15 PM","7:05 PM","The Barbary","Saturday, August 06","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/70702/custome6e0183cd6e148b3ba4bae6e59c775f3.png","https://www.facebook.com/thegoddamncomedyjam/info/?entry_point=page_nav_about_item&tab=page_info"
"KAMASI WASHINGTON","http://lineup.sfoutsidelands.com/band/kamasi-washington","12:00 PM","12:45 PM","Lands End","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67392/custom9c53f1622d0223891818166dfce2b66b.jpg","http://kamasiwashington.com/"
"OH WONDER","http://lineup.sfoutsidelands.com/band/oh-wonder","1:15 PM","2:00 PM","Lands End","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67416/customa8941d8324456bc2c440d8ba2f2b93cd.jpg","http://ohwondermusic.com/"
"THE MUPPETS’ DR. TEETH AND THE ELECTRIC MAYHEM","http://lineup.sfoutsidelands.com/band/the-muppets%E2%80%99-dr-teeth-and-the-electric-mayhem","2:30 PM","2:55 PM","Lands End","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67436/custome0af3249b0d71707b4205b1416c1a3b3.jpg","http://muppets.disney.com/"
"THIRD EYE BLIND","http://lineup.sfoutsidelands.com/band/third-eye-blind","3:25 PM","4:25 PM","Lands End","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67456/customdf78a91c52350e570ef7689749922501.jpg","http://thirdeyeblind.com/"
"CHANCE THE RAPPER","http://lineup.sfoutsidelands.com/band/chance-the-rapper","4:55 PM","5:55 PM","Lands End","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67468/custom460ebafe77bc797b014aeb9de83e265a.jpg","http://chanceraps.com/"
"MAJOR LAZER","http://lineup.sfoutsidelands.com/band/major-lazer","6:25 PM","7:25 PM","Lands End","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67408/custom42d1bbc3b5eeac38f84b7699c69fce08.jpg","http://majorlazer.com/"
"LIONEL RICHIE","http://lineup.sfoutsidelands.com/band/lionel-richie","8:05 PM","9:35 PM","Lands End","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67404/custom5b585f00077fade98b7581a588cd940a.jpg","lionelrichie.com"
"FRANCES","http://lineup.sfoutsidelands.com/band/frances-","12:05 PM","12:50 PM","Sutro","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67480/custom5b25afaa1b0ea9380e8e863bc31352c5.jpg","http://www.francesmusic.com/"
"THE OH HELLOS","http://lineup.sfoutsidelands.com/band/the-oh-hellos","1:20 PM","2:05 PM","Sutro","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67438/custom16abf4f53d01fbeda701db99d5d7ae31.jpg","http://theohhellos.com/"
"JACK GARRATT","http://lineup.sfoutsidelands.com/band/jack-garratt","2:35 PM","3:25 PM","Sutro","Sunday, August 07","http://s3.amazonaws.com/dostuff-production/band_alternate_photo/custom_photos/67486/customf7bf29c12dfbcd9a25bf6f15abef51ea.jpg","http://jackgarratt.com/"
